id,db_id,query,question,query_res
0,college_3,SELECT count(*) FROM COURSE,How many courses are there in total?,"(76,)
"
1,college_3,SELECT count(*) FROM COURSE,Count the number of courses.,"(76,)
"
2,college_3,SELECT count(*) FROM COURSE WHERE Credits  >  2,How many courses have more than 2 credits?,"(71,)
"
3,college_3,SELECT count(*) FROM COURSE WHERE Credits  >  2,Count the number of courses with more than 2 credits.,"(71,)
"
4,college_3,SELECT CName FROM COURSE WHERE Credits  =  1,List all names of courses with 1 credit?,"('INTRODUCTION TO COMPUTER SCIENCE',)
('SUPERCOMPUTING',)
('COMPUTER SCIENCE SEMINAR',)
('RESEARCH SEMINAR IN COGNITIVE PROCESSES',)
"
5,college_3,SELECT CName FROM COURSE WHERE Credits  =  1,What are the names of courses with 1 credit?,"('INTRODUCTION TO COMPUTER SCIENCE',)
('SUPERCOMPUTING',)
('COMPUTER SCIENCE SEMINAR',)
('RESEARCH SEMINAR IN COGNITIVE PROCESSES',)
"
6,college_3,"SELECT CName FROM COURSE WHERE Days  =  ""MTW""",Which courses are taught on days MTW?,"('COMPUTER LITERACY',)
('INTRO TO PROGRAMMING IN JAVA',)
('INTRO TO PROGRAMMING IN C/C++',)
('EXPLORING THE INTERNET',)
('DATA STRUCTURES in JAVA',)
('COMPUTATIONAL MODELS',)
('COMPUTER SYSTEM FUNDAMENTALS',)
('INTRODUCTION TO ALGORITHMS',)
('COMPUTER SYSTEMS',)
('COMPUTER VISION',)
('ALGORITHMS I',)
('INTRO TO NATURAL LANGUAGE PROCESSING',)
('STATISTICAL ANALYSIS',)
('DISCRETE MATHEMATICS',)
('LINEAR ALGEBRA AND DIFFERENTIAL EQNS',)
('PROBABILITY AND STATISTICS',)
('INTRODUCTION TO OPTIMIZATION',)
('APPLIED STATISTICS AND DATA ANALYSIS',)
('INTRODUCTION TO PROBABILITY',)
('COMBINATORIAL ANALYSIS',)
('PROBABILITY THEORY I',)
('STOCHASTIC PROCESSES II',)
('STATISTICAL INFERENCE',)
('FOUNDATIONS OF OPTIMIZATION',)
('COMBINATORIAL ANALYSIS',)
('NUMERICAL ANALYSIS',)
('PERCOLATION THEORY',)
('INTRODUCTION TO ECE',)
('CIRCUITS',)
('FIELDS, MATTER AND WAVES',)
('INTEGRATED ELECTRONICS',)
('CONTROL SYSTEMS',)
('BASIC COMMUNICATIONS',)
('FIBER OPTICS AND PHOTONICS',)
('INTRODUCTION TO NON-LINEAR SYSTEMS',)
('DIGITAL SIGNAL PROCESSING',)
('LANGUAGE AND MIND',)
"
7,college_3,"SELECT CName FROM COURSE WHERE Days  =  ""MTW""",What are the course names for courses taught on MTW?,"('COMPUTER LITERACY',)
('INTRO TO PROGRAMMING IN JAVA',)
('INTRO TO PROGRAMMING IN C/C++',)
('EXPLORING THE INTERNET',)
('DATA STRUCTURES in JAVA',)
('COMPUTATIONAL MODELS',)
('COMPUTER SYSTEM FUNDAMENTALS',)
('INTRODUCTION TO ALGORITHMS',)
('COMPUTER SYSTEMS',)
('COMPUTER VISION',)
('ALGORITHMS I',)
('INTRO TO NATURAL LANGUAGE PROCESSING',)
('STATISTICAL ANALYSIS',)
('DISCRETE MATHEMATICS',)
('LINEAR ALGEBRA AND DIFFERENTIAL EQNS',)
('PROBABILITY AND STATISTICS',)
('INTRODUCTION TO OPTIMIZATION',)
('APPLIED STATISTICS AND DATA ANALYSIS',)
('INTRODUCTION TO PROBABILITY',)
('COMBINATORIAL ANALYSIS',)
('PROBABILITY THEORY I',)
('STOCHASTIC PROCESSES II',)
('STATISTICAL INFERENCE',)
('FOUNDATIONS OF OPTIMIZATION',)
('COMBINATORIAL ANALYSIS',)
('NUMERICAL ANALYSIS',)
('PERCOLATION THEORY',)
('INTRODUCTION TO ECE',)
('CIRCUITS',)
('FIELDS, MATTER AND WAVES',)
('INTEGRATED ELECTRONICS',)
('CONTROL SYSTEMS',)
('BASIC COMMUNICATIONS',)
('FIBER OPTICS AND PHOTONICS',)
('INTRODUCTION TO NON-LINEAR SYSTEMS',)
('DIGITAL SIGNAL PROCESSING',)
('LANGUAGE AND MIND',)
"
8,college_3,"SELECT count(*) FROM DEPARTMENT WHERE Division  =  ""AS""","What is the number of departments in Division ""AS""?","(19,)
"
9,college_3,"SELECT count(*) FROM DEPARTMENT WHERE Division  =  ""AS""",How many departments are in the division AS?,"(19,)
"
10,college_3,SELECT DPhone FROM DEPARTMENT WHERE Room  =  268,What are the phones of departments in Room 268?,"(7117,)
"
11,college_3,SELECT DPhone FROM DEPARTMENT WHERE Room  =  268,Give the phones for departments in room 268.,"(7117,)
"
12,college_3,"SELECT COUNT(DISTINCT StuID) FROM ENROLLED_IN WHERE Grade  =  ""B""","Find the number of students that have at least one grade ""B"".","(24,)
"
13,college_3,"SELECT COUNT(DISTINCT StuID) FROM ENROLLED_IN WHERE Grade  =  ""B""","How many students have had at least one ""B"" grade?","(24,)
"
14,college_3,"SELECT max(gradepoint) ,  min(gradepoint) FROM GRADECONVERSION",Find the max and min grade point for all letter grade.,"(4.0, 0.0)
"
15,college_3,"SELECT max(gradepoint) ,  min(gradepoint) FROM GRADECONVERSION",What are the maximum and minumum grade points?,"(4.0, 0.0)
"
16,college_3,SELECT DISTINCT Fname FROM STUDENT WHERE Fname LIKE '%a%',"Find the first names of students whose first names contain letter ""a"".","('Linda',)
('Tracy',)
('Shiela',)
('Paul',)
('Andy',)
('Lisa',)
('Jandy',)
('David',)
('Charles',)
('Susan',)
('Mark',)
('Michael',)
('Arthur',)
('Ian',)
('Stacy',)
('Sarah',)
('William',)
"
17,college_3,SELECT DISTINCT Fname FROM STUDENT WHERE Fname LIKE '%a%',"What are the first names for students who have an ""a"" in their first name?","('Linda',)
('Tracy',)
('Shiela',)
('Paul',)
('Andy',)
('Lisa',)
('Jandy',)
('David',)
('Charles',)
('Susan',)
('Mark',)
('Michael',)
('Arthur',)
('Ian',)
('Stacy',)
('Sarah',)
('William',)
"
18,college_3,"SELECT Fname ,  Lname FROM FACULTY WHERE sex  =  ""M"" AND Building  =  ""NEB""",Find the first names and last names of male (sex is M) faculties who live in building NEB.,"('Mark', 'Giuliano')
('Michael', 'Goodrich')
('Gerald', 'Masson')
('David', 'Yarowsky')
('Scott', 'Smith')
('Louis', 'Beach')
('Baruch', 'Awerbuch')
('Russell', 'Taylor')
('Eric', 'Brill')
('Subodh', 'Kumar')
('Lawrence', 'Wolff')
('Steven', 'Salzberg')
('Yair', 'Amir')
('Rao', 'Kosaraju')
('Arthur', 'Delcher')
"
