id,db_id,query,question,query_res
0,driving_school,SELECT vehicle_id FROM Vehicles;,List all vehicle id,"(1,)
(2,)
(3,)
"
1,driving_school,SELECT vehicle_id FROM Vehicles;,What are the ids of all vehicles?,"(1,)
(2,)
(3,)
"
2,driving_school,SELECT count(*) FROM Vehicles;,How many vehicle in total?,"(3,)
"
3,driving_school,SELECT count(*) FROM Vehicles;,How many vehicles exist?,"(3,)
"
4,driving_school,SELECT vehicle_details FROM Vehicles WHERE vehicle_id = 1;,Show the detail of vehicle with id 1.,"('Van',)
"
5,driving_school,SELECT vehicle_details FROM Vehicles WHERE vehicle_id = 1;,What are the details of the car with id 1?,"('Van',)
"
6,driving_school,"SELECT first_name ,  middle_name ,  last_name FROM Staff;",List the first name middle name and last name of all staff.,"('Janessa', 'Amara', 'Sawayn')
('Camylle', 'Icie', 'Weissnat')
('Kaitlin', 'Stephania', 'Mertz')
('Rebekah', 'Sherwood', 'Hermann')
('Jedidiah', 'Dejon', 'Herzog')
('Eulalia', 'Tre', 'Maggio')
('Queenie', 'Madelyn', 'Macejkovic')
('Titus', 'Duane', 'Durgan')
('Margie', 'Caesar', 'Doyle')
('Jaleel', 'Maiya', 'Rogahn')
('Winnifred', 'Liam', 'Jast')
('Lincoln', 'Benny', 'Carroll')
('Ernestina', 'Clarabelle', 'Mraz')
('Ludie', 'Ulices', 'Kuphal')
('Simeon', 'Mayra', 'Turner')
"
7,driving_school,"SELECT first_name ,  middle_name ,  last_name FROM Staff;","What are the first, middle, and last names of all staff?","('Janessa', 'Amara', 'Sawayn')
('Camylle', 'Icie', 'Weissnat')
('Kaitlin', 'Stephania', 'Mertz')
('Rebekah', 'Sherwood', 'Hermann')
('Jedidiah', 'Dejon', 'Herzog')
('Eulalia', 'Tre', 'Maggio')
('Queenie', 'Madelyn', 'Macejkovic')
('Titus', 'Duane', 'Durgan')
('Margie', 'Caesar', 'Doyle')
('Jaleel', 'Maiya', 'Rogahn')
('Winnifred', 'Liam', 'Jast')
('Lincoln', 'Benny', 'Carroll')
('Ernestina', 'Clarabelle', 'Mraz')
('Ludie', 'Ulices', 'Kuphal')
('Simeon', 'Mayra', 'Turner')
"
8,driving_school,"SELECT date_of_birth FROM Staff WHERE first_name = ""Janessa"" AND last_name = ""Sawayn"";",What is the birthday of the staff member with first name as Janessa and last name as Sawayn?,"('2010-12-08 16:55:14',)
"
9,driving_school,"SELECT date_of_birth FROM Staff WHERE first_name = ""Janessa"" AND last_name = ""Sawayn"";",What is the date of birth for the staff member named Janessa Sawayn?,"('2010-12-08 16:55:14',)
"
10,driving_school,"SELECT date_joined_staff FROM Staff WHERE first_name = ""Janessa"" AND last_name = ""Sawayn"";",When did the staff member with first name as Janessa and last name as Sawayn join the company?,"('2017-04-27 03:21:26',)
"
11,driving_school,"SELECT date_joined_staff FROM Staff WHERE first_name = ""Janessa"" AND last_name = ""Sawayn"";",When did the staff member named Janessa Sawayn join the company?,"('2017-04-27 03:21:26',)
"
12,driving_school,"SELECT date_left_staff FROM Staff WHERE first_name = ""Janessa"" AND last_name = ""Sawayn"";",When did the staff member with first name as Janessa and last name as Sawayn leave the company?,"('2018-03-23 22:53:12',)
"
13,driving_school,"SELECT date_left_staff FROM Staff WHERE first_name = ""Janessa"" AND last_name = ""Sawayn"";",When did the staff member Janessa Sawayn leave the company?,"('2018-03-23 22:53:12',)
"
14,driving_school,"SELECT count(*) FROM Staff WHERE first_name = ""Ludie"";",How many staff have the first name Ludie?,"(1,)
"
15,driving_school,"SELECT count(*) FROM Staff WHERE first_name = ""Ludie"";",How many employees have a first name of Ludie?,"(1,)
"
16,driving_school,"SELECT nickname FROM Staff WHERE first_name = ""Janessa"" AND last_name = ""Sawayn"";",What is the nickname of staff with first name as Janessa and last name as Sawayn?,"('thompson.constantin',)
"
17,driving_school,"SELECT nickname FROM Staff WHERE first_name = ""Janessa"" AND last_name = ""Sawayn"";",What is the nickname of the employee named Janessa Sawayn?,"('thompson.constantin',)
"
18,driving_school,SELECT count(*) FROM Staff;,How many staff in total?,"(15,)
"
19,driving_school,SELECT count(*) FROM Staff;,How many employees are there?,"(15,)
"
20,driving_school,"SELECT T1.city FROM Addresses AS T1 JOIN Staff AS T2 ON T1.address_id = T2.staff_address_id WHERE T2.first_name = ""Janessa"" AND T2.last_name = ""Sawayn"";",Which city does staff with first name as Janessa and last name as Sawayn live?,"('Damianfort',)
"
