id,db_id,query,question,query_res
0,hospital_1,SELECT name FROM department GROUP BY departmentID ORDER BY count(departmentID) DESC LIMIT 1;,Which department has the largest number of employees?,"('General Medicine',)
"
1,hospital_1,SELECT name FROM department GROUP BY departmentID ORDER BY count(departmentID) DESC LIMIT 1;,Find the department with the most employees.,"('General Medicine',)
"
2,hospital_1,SELECT head FROM department GROUP BY departmentID ORDER BY count(departmentID) LIMIT 1;,What is the employee id of the head whose department has the least number of employees?,"(4,)
"
3,hospital_1,SELECT head FROM department GROUP BY departmentID ORDER BY count(departmentID) LIMIT 1;,Tell me the employee id of the head of the department with the least employees.,"(4,)
"
4,hospital_1,"SELECT T2.name ,  T2.position FROM department AS T1 JOIN physician AS T2 ON T1.head  =  T2.EmployeeID GROUP BY departmentID ORDER BY count(departmentID) LIMIT 1;",what is the name and position of the head whose department has least number of employees?,"('Percival Cox', 'Senior Attending Physician')
"
5,hospital_1,"SELECT T2.name ,  T2.position FROM department AS T1 JOIN physician AS T2 ON T1.head  =  T2.EmployeeID GROUP BY departmentID ORDER BY count(departmentID) LIMIT 1;",Find the name and position of the head of the department with the least employees.,"('Percival Cox', 'Senior Attending Physician')
"
6,hospital_1,SELECT name FROM appointment AS T1 JOIN patient AS T2 ON T1.patient  =  T2.ssn,What are names of patients who made an appointment?,"('John Smith',)
('Grace Ritchie',)
('John Smith',)
('Dennis Doe',)
('Dennis Doe',)
('Random J. Patient',)
('John Smith',)
('Dennis Doe',)
('Grace Ritchie',)
"
7,hospital_1,SELECT name FROM appointment AS T1 JOIN patient AS T2 ON T1.patient  =  T2.ssn,List the names of patients who have made appointments.,"('John Smith',)
('Grace Ritchie',)
('John Smith',)
('Dennis Doe',)
('Dennis Doe',)
('Random J. Patient',)
('John Smith',)
('Dennis Doe',)
('Grace Ritchie',)
"
8,hospital_1,"SELECT name ,  phone FROM appointment AS T1 JOIN patient AS T2 ON T1.patient  =  T2.ssn GROUP BY T1.patient HAVING count(*)  >  1",what are name and phone number of patients who had more than one appointment?,"('John Smith', '555-0256')
('Grace Ritchie', '555-0512')
('Dennis Doe', '555-2048')
"
9,hospital_1,"SELECT name ,  phone FROM appointment AS T1 JOIN patient AS T2 ON T1.patient  =  T2.ssn GROUP BY T1.patient HAVING count(*)  >  1",Which patients made more than one appointment? Tell me the name and phone number of these patients.,"('John Smith', '555-0256')
('Grace Ritchie', '555-0512')
('Dennis Doe', '555-2048')
"
10,hospital_1,SELECT appointmentid FROM appointment ORDER BY START DESC LIMIT 1,Find the id of the appointment with the most recent start date?,"(86213939,)
"
11,hospital_1,SELECT appointmentid FROM appointment ORDER BY START DESC LIMIT 1,What is the id of the appointment that started most recently?,"(86213939,)
"
12,hospital_1,SELECT T2.name FROM appointment AS T1 JOIN physician AS T2 ON T1.Physician  =  T2.EmployeeID,List the name of physicians who took some appointment.,"('John Dorian',)
('Elliot Reid',)
('John Dorian',)
('Percival Cox',)
('Percival Cox',)
('Elliot Reid',)
('Christopher Turk',)
('Molly Clock',)
('Elliot Reid',)
"
13,hospital_1,SELECT T2.name FROM appointment AS T1 JOIN physician AS T2 ON T1.Physician  =  T2.EmployeeID,What are the names of all the physicians who took appointments.,"('John Dorian',)
('Elliot Reid',)
('John Dorian',)
('Percival Cox',)
('Percival Cox',)
('Elliot Reid',)
('Christopher Turk',)
('Molly Clock',)
('Elliot Reid',)
"
14,hospital_1,SELECT name FROM physician EXCEPT SELECT T2.name FROM appointment AS T1 JOIN physician AS T2 ON T1.Physician  =  T2.EmployeeID,List the name of physicians who never took any appointment.,"('Bob Kelso',)
('John Wen',)
('Keith Dudemeister',)
('Todd Quinlan',)
"
15,hospital_1,SELECT name FROM physician EXCEPT SELECT T2.name FROM appointment AS T1 JOIN physician AS T2 ON T1.Physician  =  T2.EmployeeID,Which physicians have never taken any appointment? Find their names.,"('Bob Kelso',)
('John Wen',)
('Keith Dudemeister',)
('Todd Quinlan',)
"
16,hospital_1,"SELECT T1.name ,  T3.name FROM physician AS T1 JOIN affiliated_with AS T2 ON T1.EmployeeID  =  T2.physician JOIN department AS T3 ON T2.department  =  T3.DepartmentID WHERE T2.PrimaryAffiliation  =  1",Find the names of all physicians and their primary affiliated departments' names.,"('John Dorian', 'General Medicine')
('Elliot Reid', 'General Medicine')
('Christopher Turk', 'Surgery')
('Percival Cox', 'General Medicine')
('Bob Kelso', 'General Medicine')
('Todd Quinlan', 'Surgery')
('John Wen', 'Surgery')
('Keith Dudemeister', 'General Medicine')
('Molly Clock', 'Psychiatry')
"
17,hospital_1,"SELECT T1.name ,  T3.name FROM physician AS T1 JOIN affiliated_with AS T2 ON T1.EmployeeID  =  T2.physician JOIN department AS T3 ON T2.department  =  T3.DepartmentID WHERE T2.PrimaryAffiliation  =  1",What are the name and primarily affiliated department name of each physician?,"('John Dorian', 'General Medicine')
('Elliot Reid', 'General Medicine')
('Christopher Turk', 'Surgery')
('Percival Cox', 'General Medicine')
('Bob Kelso', 'General Medicine')
('Todd Quinlan', 'Surgery')
('John Wen', 'Surgery')
('Keith Dudemeister', 'General Medicine')
('Molly Clock', 'Psychiatry')
"
18,hospital_1,SELECT T1.name FROM patient AS T1 JOIN appointment AS T2 ON T1.ssn = T2.patient ORDER BY T2.start DESC LIMIT 1,What is the name of the patient who made the most recent appointment?,"('Dennis Doe',)
"
19,hospital_1,SELECT T1.name FROM patient AS T1 JOIN appointment AS T2 ON T1.ssn = T2.patient ORDER BY T2.start DESC LIMIT 1,Find the name of the patient who made the appointment with the most recent start date.,"('Dennis Doe',)
"
20,hospital_1,SELECT count(patient) FROM stay WHERE room  =  112,How many patients stay in room 112?,"(1,)
"
21,hospital_1,SELECT count(patient) FROM stay WHERE room  =  112,Count the number of patients who stayed in room 112.,"(1,)
"
22,hospital_1,"SELECT count(T1.SSN) FROM patient AS T1 JOIN prescribes AS T2 ON T1.SSN  =  T2.patient JOIN physician AS T3 ON T2.physician  =  T3.employeeid WHERE T3.name = ""John Dorian""",How many patients' prescriptions are made by physician John Dorian?,"(1,)
"
23,hospital_1,"SELECT count(T1.SSN) FROM patient AS T1 JOIN prescribes AS T2 ON T1.SSN  =  T2.patient JOIN physician AS T3 ON T2.physician  =  T3.employeeid WHERE T3.name = ""John Dorian""",Find the number of patients' prescriptions physician John Dorian made.,"(1,)
"
24,hospital_1,SELECT T4.name FROM stay AS T1 JOIN patient AS T2 ON T1.Patient  =  T2.SSN JOIN Prescribes AS T3 ON T3.Patient  =  T2.SSN JOIN Medication AS T4 ON T3.Medication  =  T4.Code WHERE room  =  111,Find the name of medication used on the patient who stays in room 111?,"('Procrastin-X',)
"
25,hospital_1,SELECT T4.name FROM stay AS T1 JOIN patient AS T2 ON T1.Patient  =  T2.SSN JOIN Prescribes AS T3 ON T3.Patient  =  T2.SSN JOIN Medication AS T4 ON T3.Medication  =  T4.Code WHERE room  =  111,What is the name of the medication used for the patient staying in room 111?,"('Procrastin-X',)
"
26,hospital_1,SELECT patient FROM stay WHERE room  =  111 ORDER BY staystart DESC LIMIT 1,Find the patient who most recently stayed in room 111.,"(100000001,)
"
27,hospital_1,SELECT patient FROM stay WHERE room  =  111 ORDER BY staystart DESC LIMIT 1,What is the id of the patient who stayed in room 111 most recently?,"(100000001,)
"
28,hospital_1,SELECT T1.name FROM nurse AS T1 JOIN appointment AS T2 ON T1.employeeid  =  T2.prepnurse GROUP BY T1.employeeid ORDER BY count(*) DESC LIMIT 1,What is the name of the nurse has the most appointments?,"('Carla Espinosa',)
"
29,hospital_1,SELECT T1.name FROM nurse AS T1 JOIN appointment AS T2 ON T1.employeeid  =  T2.prepnurse GROUP BY T1.employeeid ORDER BY count(*) DESC LIMIT 1,Find the name of the nurse who has the largest number of appointments.,"('Carla Espinosa',)
"
30,hospital_1,"SELECT T1.name ,  count(*) FROM physician AS T1 JOIN patient AS T2 ON T1.employeeid  =  T2.PCP GROUP BY T1.employeeid",How many patients do each physician take care of? List their names and number of patients they take care of.,"('John Dorian', 1)
('Elliot Reid', 2)
('Christopher Turk', 1)
"
31,hospital_1,"SELECT T1.name ,  count(*) FROM physician AS T1 JOIN patient AS T2 ON T1.employeeid  =  T2.PCP GROUP BY T1.employeeid",Return the name of each physician and the number of patients he or she treats.,"('John Dorian', 1)
('Elliot Reid', 2)
('Christopher Turk', 1)
"
32,hospital_1,SELECT T1.name FROM physician AS T1 JOIN patient AS T2 ON T1.employeeid  =  T2.PCP GROUP BY T1.employeeid HAVING count(*)  >  1,Find the name of physicians who are in charge of more than one patient.,"('Elliot Reid',)
"
33,hospital_1,SELECT T1.name FROM physician AS T1 JOIN patient AS T2 ON T1.employeeid  =  T2.PCP GROUP BY T1.employeeid HAVING count(*)  >  1,Which physicians are in charge of more than one patient? Give me their names.,"('Elliot Reid',)
"
34,hospital_1,"SELECT count(*) ,  T1.blockfloor FROM BLOCK AS T1 JOIN room AS T2 ON T1.blockfloor  =  T2.blockfloor AND T1.blockcode  =  T2.blockcode GROUP BY T1.blockfloor",Find the number of rooms located on each block floor.,"(9, 1)
(9, 2)
(9, 3)
(9, 4)
"
35,hospital_1,"SELECT count(*) ,  T1.blockfloor FROM BLOCK AS T1 JOIN room AS T2 ON T1.blockfloor  =  T2.blockfloor AND T1.blockcode  =  T2.blockcode GROUP BY T1.blockfloor",How many rooms does each block floor have?,"(9, 1)
(9, 2)
(9, 3)
(9, 4)
"
36,hospital_1,"SELECT count(*) ,  T1.blockcode FROM BLOCK AS T1 JOIN room AS T2 ON T1.blockfloor  =  T2.blockfloor AND T1.blockcode  =  T2.blockcode GROUP BY T1.blockcode",Find the number of rooms for different block code?,"(12, 1)
(12, 2)
(12, 3)
"
37,hospital_1,"SELECT count(*) ,  T1.blockcode FROM BLOCK AS T1 JOIN room AS T2 ON T1.blockfloor  =  T2.blockfloor AND T1.blockcode  =  T2.blockcode GROUP BY T1.blockcode",How many rooms are located for each block code?,"(12, 1)
(12, 2)
(12, 3)
"
38,hospital_1,SELECT DISTINCT blockcode FROM room WHERE unavailable  =  0,What are the unique block codes that have available rooms?,"(1,)
(2,)
(3,)
"
39,hospital_1,SELECT DISTINCT blockcode FROM room WHERE unavailable  =  0,Tell me the distinct block codes where some rooms are available.,"(1,)
(2,)
(3,)
"
40,hospital_1,SELECT count(DISTINCT roomtype) FROM room,How many different types of rooms are there?,"(1,)
"
41,hospital_1,SELECT count(DISTINCT roomtype) FROM room,Find the number of distinct room types available.,"(1,)
"
42,hospital_1,"SELECT DISTINCT T1.name FROM physician AS T1 JOIN prescribes AS T2 ON T1.employeeid = T2.physician JOIN medication AS T3 ON T3.code = T2.medication WHERE T3.name  =  ""Thesisin""",What is the names of the physicians who prescribe medication Thesisin?,"('Molly Clock',)
"
43,hospital_1,"SELECT DISTINCT T1.name FROM physician AS T1 JOIN prescribes AS T2 ON T1.employeeid = T2.physician JOIN medication AS T3 ON T3.code = T2.medication WHERE T3.name  =  ""Thesisin""",List the names of all the physicians who prescribe Thesisin as medication.,"('Molly Clock',)
"
44,hospital_1,"SELECT DISTINCT T1.name ,  T1.position FROM physician AS T1 JOIN prescribes AS T2 ON T1.employeeid = T2.physician JOIN medication AS T3 ON T3.code = T2.medication WHERE T3.Brand  =  ""X""",Find the name and position of physicians who prescribe some medication whose brand is X?,"('John Dorian', 'Staff Internist')
"
45,hospital_1,"SELECT DISTINCT T1.name ,  T1.position FROM physician AS T1 JOIN prescribes AS T2 ON T1.employeeid = T2.physician JOIN medication AS T3 ON T3.code = T2.medication WHERE T3.Brand  =  ""X""",Which physicians prescribe a medication of brand X? Tell me the name and position of those physicians.,"('John Dorian', 'Staff Internist')
"
46,hospital_1,"SELECT count(*) ,  T1.name FROM medication AS T1 JOIN prescribes AS T2 ON T1.code = T2.medication GROUP BY T1.brand",Find the number of medications prescribed for each brand.,"(2, 'Thesisin')
(1, 'Procrastin-X')
"
47,hospital_1,"SELECT count(*) ,  T1.name FROM medication AS T1 JOIN prescribes AS T2 ON T1.code = T2.medication GROUP BY T1.brand",How many medications are prescribed for each brand?,"(2, 'Thesisin')
(1, 'Procrastin-X')
"
48,hospital_1,SELECT name FROM physician WHERE POSITION LIKE '%senior%',Find the name of physicians whose position title contains the word 'senior'.,"('Percival Cox',)
"
49,hospital_1,SELECT name FROM physician WHERE POSITION LIKE '%senior%',What are the names of the physicians who have 'senior' in their titles.,"('Percival Cox',)
"
50,hospital_1,SELECT patient FROM undergoes ORDER BY dateundergoes LIMIT 1,Find the patient who has the most recent undergoing treatment?,"(100000001,)
"
51,hospital_1,SELECT patient FROM undergoes ORDER BY dateundergoes LIMIT 1,Which patient is undergoing the most recent treatment?,"(100000001,)
"
52,hospital_1,SELECT DISTINCT T2.name FROM undergoes AS T1 JOIN patient AS T2 ON T1.patient = T2.SSN JOIN stay AS T3 ON T1.Stay  =  T3.StayID WHERE T3.room  =  111,Find the names of all patients who have an undergoing treatment and are staying in room 111.,"('John Smith',)
"
53,hospital_1,SELECT DISTINCT T2.name FROM undergoes AS T1 JOIN patient AS T2 ON T1.patient = T2.SSN JOIN stay AS T3 ON T1.Stay  =  T3.StayID WHERE T3.room  =  111,What are the names of patients who are staying in room 111 and have an undergoing treatment?,"('John Smith',)
"
54,hospital_1,SELECT DISTINCT name FROM nurse ORDER BY name,List the names of all distinct nurses ordered by alphabetical order?,"('Carla Espinosa',)
('Laverne Roberts',)
('Paul Flowers',)
"
55,hospital_1,SELECT DISTINCT name FROM nurse ORDER BY name,What is the alphabetically ordered list of all the distinct names of nurses?,"('Carla Espinosa',)
('Laverne Roberts',)
('Paul Flowers',)
"
56,hospital_1,SELECT DISTINCT T2.name FROM undergoes AS T1 JOIN nurse AS T2 ON T1.AssistingNurse  =  T2.EmployeeID,Find the names of nurses who are nursing an undergoing treatment.,"('Carla Espinosa',)
('Laverne Roberts',)
('Paul Flowers',)
"
57,hospital_1,SELECT DISTINCT T2.name FROM undergoes AS T1 JOIN nurse AS T2 ON T1.AssistingNurse  =  T2.EmployeeID,Which nurses are in charge of patients undergoing treatments?,"('Carla Espinosa',)
('Laverne Roberts',)
('Paul Flowers',)
"
58,hospital_1,SELECT DISTINCT name FROM medication ORDER BY name,"List the names of all distinct medications, ordered in an alphabetical order.","('Awakin',)
('Crescavitin',)
('Melioraurin',)
('Procrastin-X',)
('Thesisin',)
"
59,hospital_1,SELECT DISTINCT name FROM medication ORDER BY name,What is the alphabetically ordered list of all distinct medications?,"('Awakin',)
('Crescavitin',)
('Melioraurin',)
('Procrastin-X',)
('Thesisin',)
"
60,hospital_1,SELECT T1.name FROM physician AS T1 JOIN prescribes AS T2 ON T1.employeeid = T2.physician ORDER BY T2.dose DESC LIMIT 1,What are the names of the physician who prescribed the highest dose?,"('John Dorian',)
"
61,hospital_1,SELECT T1.name FROM physician AS T1 JOIN prescribes AS T2 ON T1.employeeid = T2.physician ORDER BY T2.dose DESC LIMIT 1,Find the physician who prescribed the highest dose. What is his or her name?,"('John Dorian',)
"
62,hospital_1,"SELECT physician ,  department FROM affiliated_with WHERE primaryaffiliation  =  1",List the physicians' employee ids together with their primary affiliation departments' ids.,"(1, 1)
(2, 1)
(3, 2)
(4, 1)
(5, 1)
(6, 2)
(7, 2)
(8, 1)
(9, 3)
"
63,hospital_1,"SELECT physician ,  department FROM affiliated_with WHERE primaryaffiliation  =  1",What are each physician's employee id and department id primarily affiliated.,"(1, 1)
(2, 1)
(3, 2)
(4, 1)
(5, 1)
(6, 2)
(7, 2)
(8, 1)
(9, 3)
"
64,hospital_1,SELECT DISTINCT T2.name FROM affiliated_with AS T1 JOIN department AS T2 ON T1.department = T2.departmentid WHERE PrimaryAffiliation  =  1,List the names of departments where some physicians are primarily affiliated with.,"('General Medicine',)
('Surgery',)
('Psychiatry',)
"
65,hospital_1,SELECT DISTINCT T2.name FROM affiliated_with AS T1 JOIN department AS T2 ON T1.department = T2.departmentid WHERE PrimaryAffiliation  =  1,What are the names of departments that have primarily affiliated physicians.,"('General Medicine',)
('Surgery',)
('Psychiatry',)
"
66,hospital_1,SELECT nurse FROM on_call WHERE blockfloor  =  1 AND blockcode  =  1,What nurses are on call with block floor 1 and block code 1? Tell me their names.,"(101,)
(103,)
"
67,hospital_1,SELECT nurse FROM on_call WHERE blockfloor  =  1 AND blockcode  =  1,Find the ids of the nurses who are on call in block floor 1 and block code 1.,"(101,)
(103,)
"
68,hospital_1,"SELECT MAX(cost) ,  MIN(cost) ,  AVG(cost) FROM procedures","What are the highest cost, lowest cost and average cost of procedures?","(10000.0, 25.0, 4324.857142857143)
"
69,hospital_1,"SELECT MAX(cost) ,  MIN(cost) ,  AVG(cost) FROM procedures","Tell me the highest, lowest, and average cost of procedures.","(10000.0, 25.0, 4324.857142857143)
"
70,hospital_1,"SELECT name ,  cost FROM procedures ORDER BY cost DESC",List the name and cost of all procedures sorted by the cost from the highest to the lowest.,"('Complete Walletectomy', 10000.0)
('Reversible Pancreomyoplasty', 5600.0)
('Obfuscated Dermogastrotomy', 4899.0)
('Folded Demiophtalmectomy', 4500.0)
('Obtuse Pyloric Recombobulation', 3750.0)
('Reverse Rhinopodoplasty', 1500.0)
('Follicular Demiectomy', 25.0)
"
71,hospital_1,"SELECT name ,  cost FROM procedures ORDER BY cost DESC",Sort the list of names and costs of all procedures in the descending order of cost.,"('Complete Walletectomy', 10000.0)
('Reversible Pancreomyoplasty', 5600.0)
('Obfuscated Dermogastrotomy', 4899.0)
('Folded Demiophtalmectomy', 4500.0)
('Obtuse Pyloric Recombobulation', 3750.0)
('Reverse Rhinopodoplasty', 1500.0)
('Follicular Demiectomy', 25.0)
"
72,hospital_1,SELECT name FROM procedures ORDER BY cost LIMIT 3,Find the three most expensive procedures.,"('Follicular Demiectomy',)
('Reverse Rhinopodoplasty',)
('Obtuse Pyloric Recombobulation',)
"
73,hospital_1,SELECT name FROM procedures ORDER BY cost LIMIT 3,What are the three most costly procedures?,"('Follicular Demiectomy',)
('Reverse Rhinopodoplasty',)
('Obtuse Pyloric Recombobulation',)
"
74,hospital_1,SELECT T1.name FROM physician AS T1 JOIN trained_in AS T2 ON T1.employeeid  =  T2.physician JOIN procedures AS T3 ON T3.code  =  T2.treatment WHERE T3.cost  >  5000,Find the physicians who are trained in a procedure that costs more than 5000.,"('Christopher Turk',)
('Todd Quinlan',)
('John Wen',)
('John Wen',)
"
75,hospital_1,SELECT T1.name FROM physician AS T1 JOIN trained_in AS T2 ON T1.employeeid  =  T2.physician JOIN procedures AS T3 ON T3.code  =  T2.treatment WHERE T3.cost  >  5000,Which physicians are trained in procedures that are more expensive than 5000?,"('Christopher Turk',)
('Todd Quinlan',)
('John Wen',)
('John Wen',)
"
76,hospital_1,SELECT T1.name FROM physician AS T1 JOIN trained_in AS T2 ON T1.employeeid  =  T2.physician JOIN procedures AS T3 ON T3.code  =  T2.treatment ORDER BY T3.cost DESC LIMIT 1,Find the physician who was trained in the most expensive procedure?,"('John Wen',)
"
77,hospital_1,SELECT T1.name FROM physician AS T1 JOIN trained_in AS T2 ON T1.employeeid  =  T2.physician JOIN procedures AS T3 ON T3.code  =  T2.treatment ORDER BY T3.cost DESC LIMIT 1,Which physician was trained in the procedure that costs the most.,"('John Wen',)
"
78,hospital_1,"SELECT avg(T3.cost) FROM physician AS T1 JOIN trained_in AS T2 ON T1.employeeid  =  T2.physician JOIN procedures AS T3 ON T3.code  =  T2.treatment WHERE T1.name  =  ""John Wen""",What is the average cost of procedures that physician John Wen was trained in?,"(4324.857142857143,)
"
79,hospital_1,"SELECT avg(T3.cost) FROM physician AS T1 JOIN trained_in AS T2 ON T1.employeeid  =  T2.physician JOIN procedures AS T3 ON T3.code  =  T2.treatment WHERE T1.name  =  ""John Wen""",Compute the mean price of procedures physician John Wen was trained in.,"(4324.857142857143,)
"
80,hospital_1,"SELECT T3.name FROM physician AS T1 JOIN trained_in AS T2 ON T1.employeeid  =  T2.physician JOIN procedures AS T3 ON T3.code  =  T2.treatment WHERE T1.name  =  ""John Wen""",Find the names of procedures which physician John Wen was trained in.,"('Reverse Rhinopodoplasty',)
('Obtuse Pyloric Recombobulation',)
('Folded Demiophtalmectomy',)
('Complete Walletectomy',)
('Obfuscated Dermogastrotomy',)
('Reversible Pancreomyoplasty',)
('Follicular Demiectomy',)
"
81,hospital_1,"SELECT T3.name FROM physician AS T1 JOIN trained_in AS T2 ON T1.employeeid  =  T2.physician JOIN procedures AS T3 ON T3.code  =  T2.treatment WHERE T1.name  =  ""John Wen""",What are the names of procedures physician John Wen was trained in?,"('Reverse Rhinopodoplasty',)
('Obtuse Pyloric Recombobulation',)
('Folded Demiophtalmectomy',)
('Complete Walletectomy',)
('Obfuscated Dermogastrotomy',)
('Reversible Pancreomyoplasty',)
('Follicular Demiectomy',)
"
82,hospital_1,"SELECT name FROM procedures WHERE cost  >  1000 UNION SELECT T3.name FROM physician AS T1 JOIN trained_in AS T2 ON T1.employeeid  =  T2.physician JOIN procedures AS T3 ON T3.code  =  T2.treatment WHERE T1.name  =  ""John Wen""",Find all procedures which cost more than 1000 or which physician John Wen was trained in.,"('Complete Walletectomy',)
('Folded Demiophtalmectomy',)
('Follicular Demiectomy',)
('Obfuscated Dermogastrotomy',)
('Obtuse Pyloric Recombobulation',)
('Reverse Rhinopodoplasty',)
('Reversible Pancreomyoplasty',)
"
83,hospital_1,"SELECT name FROM procedures WHERE cost  >  1000 UNION SELECT T3.name FROM physician AS T1 JOIN trained_in AS T2 ON T1.employeeid  =  T2.physician JOIN procedures AS T3 ON T3.code  =  T2.treatment WHERE T1.name  =  ""John Wen""",What are the procedures that cost more than 1000 or are specialized in by physician John Wen?,"('Complete Walletectomy',)
('Folded Demiophtalmectomy',)
('Follicular Demiectomy',)
('Obfuscated Dermogastrotomy',)
('Obtuse Pyloric Recombobulation',)
('Reverse Rhinopodoplasty',)
('Reversible Pancreomyoplasty',)
"
84,hospital_1,"SELECT name FROM procedures WHERE cost  >  1000 EXCEPT SELECT T3.name FROM physician AS T1 JOIN trained_in AS T2 ON T1.employeeid  =  T2.physician JOIN procedures AS T3 ON T3.code  =  T2.treatment WHERE T1.name  =  ""John Wen""",Find the names of all procedures which cost more than 1000 but which physician John Wen was not trained in?,
85,hospital_1,"SELECT name FROM procedures WHERE cost  >  1000 EXCEPT SELECT T3.name FROM physician AS T1 JOIN trained_in AS T2 ON T1.employeeid  =  T2.physician JOIN procedures AS T3 ON T3.code  =  T2.treatment WHERE T1.name  =  ""John Wen""","Among the procedures that cost more than 1000, which were not specialized in by physician John Wen?",
86,hospital_1,"SELECT name FROM procedures WHERE cost  <  5000 INTERSECT SELECT T3.name FROM physician AS T1 JOIN trained_in AS T2 ON T1.employeeid  =  T2.physician JOIN procedures AS T3 ON T3.code  =  T2.treatment WHERE T1.name  =  ""John Wen""",Find the names of all procedures such that the cost is less than 5000 and physician John Wen was trained in.,"('Folded Demiophtalmectomy',)
('Follicular Demiectomy',)
('Obfuscated Dermogastrotomy',)
('Obtuse Pyloric Recombobulation',)
('Reverse Rhinopodoplasty',)
"
87,hospital_1,"SELECT name FROM procedures WHERE cost  <  5000 INTERSECT SELECT T3.name FROM physician AS T1 JOIN trained_in AS T2 ON T1.employeeid  =  T2.physician JOIN procedures AS T3 ON T3.code  =  T2.treatment WHERE T1.name  =  ""John Wen""",What procedures cost less than 5000 and have John Wen as a trained physician?,"('Folded Demiophtalmectomy',)
('Follicular Demiectomy',)
('Obfuscated Dermogastrotomy',)
('Obtuse Pyloric Recombobulation',)
('Reverse Rhinopodoplasty',)
"
88,hospital_1,SELECT T1.name FROM physician AS T1 JOIN affiliated_with AS T2 ON T1.EmployeeID  =  T2.physician JOIN department AS T3 ON T2.department  =  T3.DepartmentID WHERE T3.name  =  'Surgery' INTERSECT SELECT T1.name FROM physician AS T1 JOIN affiliated_with AS T2 ON T1.EmployeeID  =  T2.physician JOIN department AS T3 ON T2.department  =  T3.DepartmentID WHERE T3.name  =  'Psychiatry',Find the name of physicians who are affiliated with both Surgery and Psychiatry departments.,
89,hospital_1,SELECT T1.name FROM physician AS T1 JOIN affiliated_with AS T2 ON T1.EmployeeID  =  T2.physician JOIN department AS T3 ON T2.department  =  T3.DepartmentID WHERE T3.name  =  'Surgery' INTERSECT SELECT T1.name FROM physician AS T1 JOIN affiliated_with AS T2 ON T1.EmployeeID  =  T2.physician JOIN department AS T3 ON T2.department  =  T3.DepartmentID WHERE T3.name  =  'Psychiatry',Which physicians are affiliated with both Surgery and Psychiatry departments? Tell me their names.,
